merchant_id,industry_segment,settlement_frequency,monthly_txn_count,average_ticket_size,monthly_transaction_volume,chargeback_rate,fraud_alert_rate,days_since_last_chargeback,concentration_ratio,reserve_coverage_ratio,prior_default_flag,gross_exposure,net_exposure,synthetic_pd_signal,risk_label
M00554,healthcare,twice_weekly,2339,177.34,414795.46,0.00362,0.00393,178,0.1336,0.7308,0,51425.21,45925.21,0.1827,0
M00555,grocery,twice_weekly,280,55.89,15650.04,0.00182,0.00148,66,0.037,0.8676,0,1444.15,1206.77,0.024,0
M00556,retail,daily,1942,106.02,205895.81,0.00641,0.00514,124,0.1327,0.8414,0,32122.93,24928.77,0.4799,1
M00557,retail,twice_weekly,948,79.33,75202.01,0.00749,0.00717,157,0.4279,0.5682,0,6662.21,6404.67,0.8756,0
M00558,gaming,daily,266,94.0,25004.02,0.02651,0.02357,23,0.1402,0.6113,0,1962.19,1696.63,1.0,1
M00559,digital_services,daily,2316,85.78,198673.2,0.00602,0.00995,32,0.2581,0.8183,0,21018.29,16498.62,0.8441,1
M00560,gaming,daily,748,109.57,81958.45,0.02162,0.02361,33,0.1845,0.7115,0,5839.57,4823.92,1.0,1
M00561,grocery,twice_weekly,554,44.51,24658.83,0.00157,0.00178,85,0.1288,0.8632,0,3790.92,3174.73,0.0281,0
M00562,retail,daily,1090,86.76,94569.95,0.01071,0.01823,0,0.2138,0.8313,0,8350.11,6512.66,0.998,1
M00563,restaurants,daily,2075,42.62,88428.11,0.00038,0.00046,6,0.169,0.9618,0,5498.77,4012.47,0.0115,0
M00564,digital_services,weekly,882,77.48,68336.49,0.0132,0.01551,29,0.0418,0.5907,0,6385.21,6584.53,0.9987,1
M00565,digital_services,daily,903,68.79,62117.79,0.01009,0.01679,8,0.2293,0.5106,0,10011.12,9044.21,0.9979,1
M00566,marketplace,daily,889,48.71,43299.59,0.01756,0.0164,15,0.0284,0.9951,0,5552.39,3980.46,0.9997,1
M00567,restaurants,daily,514,59.68,30677.58,0.00476,0.00377,25,0.311,0.7402,0,1841.11,1500.53,0.2975,1
M00568,grocery,daily,5162,22.05,113821.94,0.00175,0.00299,12,0.2179,0.5461,0,18929.43,16842.33,0.0915,0
M00569,retail,twice_weekly,934,75.39,70414.85,0.00587,0.00963,141,0.0645,0.7085,0,8558.51,7723.36,0.7568,1
M00570,gaming,daily,665,89.32,59396.0,0.01794,0.02344,82,0.375,0.8314,1,4727.1,3686.66,1.0,1
M00571,retail,daily,3725,84.96,316486.9,0.00369,0.00384,104,0.2791,0.6852,0,22141.09,18514.75,0.2258,0
M00572,restaurants,weekly,695,44.2,30716.41,0.00301,0.00277,170,0.3863,0.8086,0,3351.99,3124.33,0.123,1
M00573,gaming,twice_weekly,679,137.89,93627.15,0.02298,0.02289,59,0.2706,0.7417,0,16740.81,14873.77,1.0,1
M00574,restaurants,twice_weekly,1134,48.77,55309.82,0.0041,0.004,10,0.0352,0.7509,0,4503.62,3983.96,0.1741,0
M00575,restaurants,weekly,1326,46.36,61466.9,0.00091,0.0007,86,0.2803,1.1338,0,8351.3,6548.42,0.0138,0
M00576,gaming,weekly,534,115.08,61451.62,0.0181,0.02049,102,0.261,0.5866,0,10361.53,10704.59,1.0,1
M00577,healthcare,daily,3291,127.3,418946.6,0.00493,0.00413,106,0.3411,1.0992,0,63782.66,43167.38,0.2548,0
M00578,digital_services,twice_weekly,2374,62.89,149291.61,0.01556,0.01557,19,0.1921,0.8794,0,20898.67,17359.9,0.9995,1
M00579,restaurants,twice_weekly,1909,40.02,76403.31,0.00151,0.002,41,0.1509,0.8328,0,6347.29,5396.73,0.0342,0
M00580,retail,daily,1537,90.02,138353.32,0.0002,0.00029,183,0.31,0.6363,0,13701.52,11715.29,0.0212,0
M00581,gaming,daily,835,84.47,70531.83,0.03098,0.02399,96,0.3013,0.6128,0,6837.14,5907.82,1.0,1
M00582,gaming,daily,3256,120.95,393820.22,0.03976,0.05289,250,0.0519,0.4445,0,37638.71,34960.93,1.0,1
M00583,grocery,twice_weekly,1432,52.4,75032.83,0.00261,0.00451,52,0.2764,0.8507,0,10974.81,9248.62,0.1312,0
M00584,retail,twice_weekly,618,83.69,51719.63,0.00295,0.00283,66,0.1595,0.4805,0,4049.34,4042.05,0.1378,0
M00585,healthcare,twice_weekly,1521,102.92,156538.16,0.00345,0.0033,210,0.1795,0.6261,0,21855.96,20480.3,0.1638,0
M00586,digital_services,daily,1606,81.6,131044.99,0.01043,0.01009,210,0.0375,0.5603,0,21744.19,19227.75,0.9766,1
M00587,fuel,daily,516,43.0,22187.79,0.0019,0.0015,63,0.5368,0.9103,0,1725.61,1293.38,0.0569,0
M00588,retail,daily,1672,142.04,237495.9,0.00749,0.00838,1,0.1,0.7301,0,17313.14,14178.03,0.8318,1
M00589,fuel,daily,1172,41.87,49072.03,0.0028,0.00411,138,0.1993,0.8619,0,3534.48,2715.02,0.1097,0
M00590,grocery,weekly,599,39.31,23543.71,0.00392,0.00419,175,0.2995,0.7528,0,1420.05,1359.65,0.2254,1
M00591,healthcare,weekly,1398,178.17,249078.54,0.00378,0.0053,125,0.2096,0.8319,0,42463.52,39129.53,0.2613,0
M00592,travel,weekly,1147,384.94,441527.51,0.01621,0.01198,89,0.2875,0.5731,0,36678.54,38117.33,0.9995,1
M00593,retail,weekly,1117,90.43,101012.09,0.00724,0.01174,5,0.2517,0.9616,0,7960.93,6866.02,0.9186,1
M00594,digital_services,weekly,1307,104.81,136980.58,0.01945,0.02434,49,0.231,0.6756,0,8909.38,8843.52,1.0,1
M00595,grocery,daily,2478,51.23,126937.98,0.00166,0.00161,51,0.1597,0.7561,0,21018.88,17001.88,0.0366,0
M00596,retail,daily,1073,54.37,58340.85,0.0062,0.00615,115,0.1462,0.6198,1,6038.34,5201.36,0.8253,1
M00597,marketplace,daily,2024,85.37,172784.14,0.01003,0.01048,71,0.3095,0.6777,0,15272.38,12814.78,0.9803,1
M00598,digital_services,daily,2523,128.89,325191.08,0.00715,0.00719,93,0.02,0.6376,0,28967.41,24753.36,0.7672,1
M00599,electronics,daily,2032,311.93,633842.82,0.01102,0.0185,19,0.3059,0.7799,0,108549.78,86811.01,0.9992,1
M00600,digital_services,daily,2603,93.18,242556.55,0.02422,0.02451,14,0.1855,1.0491,0,33026.96,22989.83,1.0,1
M00601,travel,weekly,3644,388.61,1416105.48,0.01209,0.01608,90,0.2753,0.675,0,144105.53,143077.74,0.9993,1
M00602,restaurants,daily,1099,32.91,36171.22,0.00535,0.00677,23,0.1147,0.6999,0,3211.86,2667.63,0.5205,0
M00603,healthcare,weekly,2068,160.02,330931.37,0.00269,0.00309,114,0.1052,0.8345,0,48918.2,45019.81,0.0826,0
M00604,marketplace,twice_weekly,7158,61.05,437014.12,0.00599,0.0046,73,0.0818,0.8396,0,34053.45,28855.27,0.4033,0
M00605,electronics,twice_weekly,2890,151.07,436593.12,0.00631,0.00716,61,0.3308,0.9594,0,46627.08,37163.45,0.7071,1
M00606,restaurants,twice_weekly,724,45.27,32778.68,0.00382,0.00416,122,0.0702,0.7555,0,4237.96,3740.83,0.1625,0
M00607,healthcare,daily,1254,148.53,186253.92,0.00188,0.00257,45,0.2686,0.6223,0,15736.75,13539.9,0.081,0
M00608,grocery,twice_weekly,702,31.02,21772.82,0.00303,0.00248,32,0.2054,0.9233,1,1617.73,1313.93,0.1807,1
M00609,marketplace,daily,1321,59.81,79014.54,0.00959,0.01327,209,0.2073,1.0306,0,10532.62,7406.73,0.9789,1
M00610,travel,weekly,678,293.47,198971.18,0.01066,0.00917,54,0.3559,0.8455,0,19208.87,17581.59,0.9766,1
M00611,digital_services,daily,3853,67.93,261735.41,0.01854,0.01303,9,0.2481,0.6819,0,23342.58,19548.67,0.9998,1
M00612,marketplace,daily,319,90.35,28822.55,0.00999,0.01494,17,0.3224,0.7704,0,2962.42,2379.99,0.9945,1
M00613,electronics,twice_weekly,8626,236.27,2038096.71,0.0036,0.00525,26,0.3663,0.6971,0,215605.88,195602.03,0.5483,1
M00614,electronics,twice_weekly,1727,232.32,401212.98,0.00447,0.00491,6,0.3618,0.5682,0,29116.12,27991.11,0.511,0
M00615,retail,daily,1057,100.92,106671.24,0.00446,0.0062,111,0.2275,0.7174,0,14569.28,12002.44,0.4259,0
M00616,marketplace,twice_weekly,475,74.78,35519.09,0.01488,0.01607,64,0.1406,0.8688,0,5117.54,4273.79,0.9993,1
M00617,restaurants,daily,895,45.04,40306.79,0.00298,0.00217,29,0.0766,0.9539,0,5603.21,4105.66,0.0505,0
M00618,retail,twice_weekly,3209,78.77,252764.81,0.00879,0.01473,69,0.1854,0.7336,0,20754.3,18510.88,0.9867,1
M00619,grocery,daily,271,24.51,6641.5,0.00379,0.00333,56,0.4377,0.8207,0,1162.74,911.63,0.1929,0
M00620,grocery,daily,653,31.47,20552.58,0.00315,0.00427,287,0.1436,0.8278,0,1684.79,1316.34,0.1239,0
M00621,restaurants,daily,3875,66.54,257829.45,0.00421,0.00484,68,0.1569,0.867,0,43066.29,32997.86,0.2402,0
M00622,gaming,daily,961,130.96,125852.95,0.00447,0.00556,32,0.1728,0.5728,0,15925.38,14005.64,0.5039,0
M00623,electronics,daily,2113,106.09,224157.86,0.01074,0.01171,38,0.2153,0.6132,0,31011.03,26790.63,0.9904,1
M00624,travel,daily,394,415.2,163590.35,0.023,0.02207,214,0.1904,0.7161,0,28725.97,23678.66,1.0,1
M00625,electronics,daily,1398,242.55,339085.82,0.01249,0.00892,4,0.0885,0.5424,0,56860.63,50673.78,0.9899,1
M00626,travel,daily,2003,256.01,512796.27,0.00912,0.00837,68,0.1435,0.6698,0,85714.2,72183.0,0.9476,1
M00627,restaurants,daily,2544,51.15,130125.5,0.00475,0.00842,93,0.186,0.5739,0,21922.51,19271.16,0.6692,0
M00628,grocery,daily,593,42.0,24906.92,0.00169,0.00154,254,0.2685,0.8465,0,4165.73,3224.6,0.0362,0
M00629,digital_services,twice_weekly,1493,122.17,182406.42,0.01792,0.03113,156,0.1392,0.8789,1,14775.35,12276.51,1.0,1
M00630,restaurants,weekly,2869,52.62,150972.04,0.00424,0.00316,310,0.0947,0.8762,0,13677.23,12327.76,0.1321,1
M00631,healthcare,daily,1424,142.33,202677.2,0.00189,0.00227,8,0.1201,1.1356,0,14976.7,9926.66,0.0277,0
M00632,restaurants,weekly,481,54.6,26264.65,0.00325,0.00531,69,0.1742,0.6823,0,3897.02,3856.3,0.2279,0
M00633,grocery,daily,738,33.22,24519.94,0.00125,0.00146,25,0.3916,0.5705,0,2658.3,2340.29,0.0564,0
M00634,retail,daily,830,89.79,74528.7,0.0066,0.00833,219,0.1995,0.7275,0,12202.14,10004.92,0.7806,1
M00635,grocery,twice_weekly,567,49.19,27889.7,0.00158,0.00224,71,0.1583,0.6626,0,4261.54,3927.88,0.0469,0
M00636,grocery,twice_weekly,1094,42.57,46572.05,0.00371,0.00347,29,0.0383,0.9096,0,3898.82,3189.18,0.0953,0
M00637,marketplace,weekly,3712,79.43,294847.2,0.00872,0.00836,25,0.1274,0.7371,0,52734.45,50869.49,0.9171,1
M00638,marketplace,daily,677,38.18,25850.3,0.0144,0.01774,58,0.4452,0.9639,0,3097.48,2257.76,0.9996,1
M00639,restaurants,twice_weekly,1983,49.65,98455.8,0.0002,0.00031,6,0.283,0.6462,0,10793.07,10022.59,0.0209,0
M00640,healthcare,daily,3044,126.88,386215.53,0.00105,0.00139,82,0.3044,0.9166,0,35485.52,26511.89,0.0284,0
M00641,marketplace,daily,3004,50.72,152359.96,0.02219,0.01913,44,0.2924,0.7728,0,17438.17,13993.47,1.0,1
M00642,restaurants,daily,1427,59.04,84256.32,0.00273,0.0024,23,0.1669,0.7659,0,15084.68,12145.13,0.0783,0
M00643,grocery,weekly,1664,32.37,53861.25,0.00126,0.00174,16,0.084,0.6697,0,6893.01,6860.62,0.0322,0
M00644,retail,daily,1330,73.87,98246.07,0.00629,0.00981,33,0.2354,0.7987,0,15920.68,12617.41,0.8292,1
M00645,digital_services,weekly,755,108.96,82262.72,0.00794,0.01089,4,0.1153,0.9149,0,10916.06,9646.79,0.9223,1
M00646,restaurants,twice_weekly,2261,39.89,90196.15,0.00555,0.00944,38,0.311,0.7904,0,15993.76,13883.22,0.7776,1
M00647,grocery,twice_weekly,1034,53.05,54849.49,0.00143,0.00255,11,0.3358,0.8778,0,6776.26,5633.21,0.0503,0
M00648,gaming,twice_weekly,4322,71.43,308718.16,0.01857,0.0144,21,0.1414,0.744,0,50792.11,45078.26,0.9999,1
M00649,marketplace,weekly,570,58.09,33110.5,0.01335,0.01729,33,0.1234,0.8494,0,4606.36,4207.98,0.999,1
M00650,grocery,daily,1149,28.55,32798.33,0.00075,0.00116,78,0.2131,0.8476,0,3805.9,2944.52,0.0192,0
M00651,retail,daily,1078,73.88,79640.86,0.0002,0.00028,126,0.421,0.8667,1,8557.17,6557.66,0.051,0
M00652,healthcare,twice_weekly,1767,169.01,298636.85,0.0002,0.00029,82,0.0908,0.7183,0,46079.47,41394.55,0.0137,0
M00653,marketplace,daily,769,106.84,82161.74,0.0147,0.01524,230,0.2378,0.8924,0,7049.62,5332.53,0.9991,1
M00654,retail,daily,1528,45.13,68964.63,0.00646,0.00545,81,0.0803,0.833,0,4947.03,3855.16,0.469,1
M00655,restaurants,daily,817,41.22,33680.42,0.0021,0.00236,71,0.2237,0.4981,0,4265.24,3873.8,0.0913,0
M00656,retail,daily,928,80.4,74608.7,0.00703,0.0094,16,0.0513,0.6813,0,9404.96,7878.71,0.8396,0
M00657,restaurants,daily,370,28.81,10659.74,0.00227,0.00175,17,0.0854,0.5493,0,1053.32,935.89,0.0621,0
M00658,retail,daily,2385,87.05,207615.31,0.00974,0.008,8,0.082,0.985,0,34145.98,24611.8,0.8886,1
M00659,digital_services,weekly,9623,99.66,959059.82,0.0002,0.00031,284,0.1012,0.9854,0,101948.34,86825.08,0.0134,0
M00660,retail,daily,1019,77.89,79374.0,0.0061,0.00838,145,0.0496,0.5343,0,4937.92,4416.03,0.7464,0
M00661,retail,weekly,499,71.06,35460.54,0.00702,0.01076,104,0.3162,0.6865,0,4673.64,4615.88,0.9235,1
M00662,healthcare,weekly,8289,122.91,1018829.32,0.003,0.00493,14,0.2899,0.7459,0,96269.41,92477.94,0.2762,0
M00663,fuel,daily,1883,47.0,88504.11,0.00421,0.0049,16,0.0412,0.9013,0,9317.2,7015.74,0.184,0
M00664,grocery,twice_weekly,7201,49.15,353934.25,0.00219,0.00299,38,0.1272,0.9932,0,38221.0,29920.96,0.0485,0
M00665,retail,twice_weekly,2065,86.94,179531.37,0.00324,0.00477,57,0.3123,0.9055,0,24506.46,20087.35,0.1946,0
M00666,marketplace,twice_weekly,1473,62.28,91742.98,0.0098,0.00872,1,0.3828,0.6455,0,5900.75,5481.22,0.97,1
M00667,restaurants,daily,606,59.56,36092.94,0.0057,0.0084,8,0.3608,0.8011,0,5657.82,4478.52,0.7469,0
M00668,electronics,daily,1988,235.71,468596.26,0.01755,0.01412,17,0.1478,0.7443,0,52141.83,42414.82,0.9997,1
M00669,retail,daily,2310,72.63,167773.76,0.00473,0.00525,9,0.2907,0.8687,0,12460.05,9539.01,0.3639,0
M00670,retail,twice_weekly,3549,84.48,299835.67,0.01032,0.01281,46,0.02,0.7227,0,36270.38,32515.14,0.9845,1
M00671,grocery,weekly,908,50.03,45422.8,0.00269,0.00318,132,0.2177,0.8417,0,5043.33,4624.83,0.0839,0
M00672,digital_services,twice_weekly,1276,103.57,132156.83,0.01142,0.01016,16,0.0916,0.6147,0,15916.11,14990.0,0.9858,1
M00673,electronics,twice_weekly,305,244.59,74600.96,0.00965,0.00838,31,0.2482,0.8102,0,7560.67,6499.96,0.9404,1
M00674,marketplace,weekly,910,36.59,33299.19,0.0039,0.00551,51,0.1656,0.6328,0,4693.54,4750.16,0.3417,1
M00675,digital_services,twice_weekly,320,59.98,19193.51,0.01029,0.01357,186,0.1133,0.6422,0,2335.3,2172.45,0.9911,1
M00676,retail,daily,1863,111.24,207245.43,0.01049,0.01713,46,0.2627,0.7719,0,29659.93,23811.04,0.9974,1
M00677,healthcare,weekly,1236,53.91,66626.73,0.00082,0.00077,61,0.1375,0.7407,0,10299.22,9917.98,0.0194,0
M00678,gaming,daily,2637,133.38,351725.47,0.02167,0.02059,24,0.1559,0.8811,0,56583.63,43046.73,1.0,1
M00679,grocery,daily,2204,50.48,111267.98,0.00106,0.00168,16,0.1307,0.7654,0,19276.41,15523.78,0.0281,0
M00680,retail,daily,1736,114.33,198471.62,0.00551,0.00874,60,0.3112,0.5195,0,29190.28,26271.2,0.8189,1
M00681,grocery,weekly,3091,58.54,180955.03,0.00208,0.00202,54,0.415,0.6626,0,16112.0,16087.86,0.0875,1
M00682,fuel,daily,6632,76.12,504796.16,0.00231,0.00405,40,0.1487,0.5612,0,53170.74,47000.38,0.1459,0
M00683,grocery,daily,3291,49.78,163819.17,0.00133,0.00129,284,0.2761,0.8036,0,24635.44,19477.18,0.0329,0
M00684,travel,daily,1662,242.98,403836.09,0.00646,0.00866,71,0.4054,0.6299,0,59274.23,50827.85,0.904,1
M00685,digital_services,daily,784,102.18,80110.02,0.02615,0.04526,8,0.1178,0.633,0,5350.1,4581.17,1.0,1
M00686,retail,daily,1317,63.2,83233.11,0.01103,0.00958,105,0.3223,0.4774,0,11443.35,10484.47,0.9864,1
M00687,travel,twice_weekly,680,404.98,275389.23,0.0321,0.04248,81,0.2862,0.672,0,20090.71,18438.28,1.0,1
M00688,electronics,weekly,1322,349.18,461617.44,0.0147,0.01042,95,0.2793,0.846,0,29416.52,26917.76,0.9968,1
M00689,restaurants,daily,2116,47.93,101422.56,0.00522,0.00669,215,0.339,0.9786,0,8790.02,6357.31,0.485,1
M00690,digital_services,daily,5640,121.07,682840.64,0.01006,0.01253,15,0.0353,0.7979,0,79983.26,63410.77,0.985,1
M00691,retail,daily,1046,69.04,72213.68,0.00673,0.01167,76,0.0864,0.9095,0,9271.03,6951.69,0.8688,1
M00692,healthcare,daily,13704,78.47,1075303.67,0.0002,0.0002,81,0.2127,0.7059,0,111728.6,92536.5,0.0206,0
M00693,retail,daily,1078,97.12,104692.24,0.00546,0.00651,67,0.0926,0.6703,0,18179.92,15306.61,0.5239,1
M00694,retail,twice_weekly,224,107.87,24162.29,0.00368,0.00407,93,0.1294,1.0745,0,3065.07,2294.86,0.1073,0
M00695,healthcare,twice_weekly,395,129.97,51339.01,0.00228,0.00275,8,0.3175,0.9501,0,5094.13,4080.17,0.0688,0
M00696,gaming,daily,574,122.59,70364.3,0.02569,0.04326,115,0.2126,0.8022,0,11953.85,9457.44,1.0,1
M00697,restaurants,daily,587,43.76,25689.12,0.0056,0.00859,5,0.1491,0.7474,0,2540.32,2063.41,0.6906,1
M00698,digital_services,daily,1397,80.34,112233.96,0.02243,0.01604,3,0.1899,0.7146,0,11120.85,9173.35,1.0,1
M00699,marketplace,daily,101,85.23,8607.83,0.01561,0.02459,1,0.3761,0.5799,0,574.95,504.09,1.0,1
M00700,retail,weekly,3578,111.51,398998.93,0.00795,0.0109,33,0.0702,1.0858,1,69427.69,55956.06,0.9607,1
M00701,retail,twice_weekly,9351,65.02,607974.8,0.00436,0.00565,204,0.4402,1.0077,0,82516.91,64095.17,0.4032,0
M00702,retail,weekly,1677,71.74,120304.01,0.00561,0.01007,37,0.1964,0.7808,0,9818.8,9276.31,0.7851,1
M00703,fuel,weekly,1219,60.33,73546.34,0.00405,0.00328,44,0.088,0.5996,0,12211.96,12543.63,0.1763,1
M00704,healthcare,twice_weekly,3250,210.45,683976.37,0.00362,0.00634,127,0.2921,0.7404,0,75767.39,67360.69,0.4077,1
M00705,retail,weekly,2221,94.02,208810.13,0.00517,0.00637,92,0.3195,1.0403,0,29806.8,24639.77,0.4439,0
M00706,digital_services,daily,1655,125.34,207438.43,0.01324,0.01384,9,0.1389,1.1151,0,14039.77,9416.05,0.996,1
M00707,restaurants,daily,954,52.16,49757.48,0.00632,0.0074,0,0.0802,0.8464,0,8277.22,6407.82,0.6199,0
M00708,restaurants,daily,7124,47.02,334978.3,0.00399,0.00531,26,0.1098,0.9403,0,26489.11,19548.45,0.2095,1
M00709,travel,daily,2752,386.52,1063713.38,0.01712,0.0266,322,0.1706,0.7264,0,79458.95,65183.47,1.0,1
M00710,travel,daily,575,334.82,192520.55,0.02426,0.04114,72,0.0491,0.5226,1,23908.25,21488.72,1.0,1
M00711,electronics,daily,444,291.49,129421.33,0.00828,0.00964,55,0.2884,0.8201,0,18856.42,14788.26,0.9319,1
M00712,marketplace,twice_weekly,1920,71.71,137684.7,0.01911,0.03291,0,0.181,0.9645,0,9813.14,7800.75,1.0,1
M00713,restaurants,twice_weekly,1015,25.81,26192.79,0.0002,0.0003,25,0.211,0.7553,0,2961.72,2614.5,0.0145,0
M00714,healthcare,twice_weekly,2881,105.46,303827.76,0.00372,0.0059,179,0.1903,0.9906,0,26025.55,20402.83,0.2249,0
M00715,restaurants,daily,1343,50.21,67431.23,0.00089,0.00095,16,0.5024,0.8636,0,8670.7,6654.98,0.035,0
M00716,fuel,twice_weekly,3898,60.48,235731.98,0.00255,0.00339,240,0.2924,0.8226,0,17839.71,15244.18,0.1037,0
M00717,digital_services,daily,1806,63.62,114892.1,0.0176,0.01271,5,0.193,0.8416,0,13369.62,10374.82,0.9995,1
M00718,grocery,daily,885,55.25,48897.3,0.00228,0.00286,31,0.1237,0.9359,0,8118.99,6005.46,0.0488,0
M00719,marketplace,daily,1038,72.81,75573.01,0.00204,0.00198,123,0.1918,1.0637,0,5143.22,3551.3,0.0366,0
M00720,electronics,daily,1139,320.23,364744.23,0.01576,0.02223,184,0.1382,0.6975,0,35637.69,29632.08,1.0,1
M00721,gaming,daily,647,124.0,80226.0,0.01556,0.02164,365,0.1077,0.5412,0,7534.67,6718.21,1.0,1
M00722,travel,twice_weekly,4418,385.08,1701281.65,0.01293,0.02261,19,0.1185,0.7453,1,204667.52,181538.17,1.0,1
M00723,grocery,twice_weekly,2091,44.88,93835.84,0.0013,0.00099,15,0.26,0.872,0,9038.09,7535.75,0.0259,0
M00724,electronics,twice_weekly,594,171.99,102162.28,0.01604,0.0241,73,0.1761,1.0048,0,9084.87,7067.94,1.0,1
M00725,grocery,daily,289,64.36,18601.18,0.00165,0.00129,155,0.3599,0.9381,0,1801.58,1331.06,0.0332,0
M00726,grocery,twice_weekly,1046,41.07,42960.33,0.00142,0.00244,24,0.4193,0.8882,0,5272.9,4360.53,0.0534,0
M00727,retail,twice_weekly,5144,116.04,596921.53,0.00384,0.0066,1,0.1536,1.0433,0,59246.7,45135.68,0.29,0
M00728,grocery,daily,1642,50.93,83621.46,0.0015,0.00164,330,0.0537,0.7789,0,14913.14,11932.4,0.0271,0
M00729,travel,twice_weekly,1484,342.29,507960.11,0.00641,0.00778,28,0.4849,0.6626,0,64467.76,59419.21,0.8896,1
M00730,gaming,daily,1281,117.27,150221.98,0.00932,0.01321,91,0.4171,0.4612,0,19798.67,18263.24,0.9949,1
M00731,retail,daily,2426,46.9,113787.85,0.00121,0.001,13,0.2741,0.7686,0,13825.15,11116.78,0.0332,1
M00732,grocery,daily,4507,38.74,174585.6,0.0032,0.00264,7,0.4638,0.7454,0,22557.83,18340.02,0.1659,0
M00733,grocery,daily,1385,38.85,53800.41,0.00325,0.00486,115,0.3507,0.8632,0,3776.63,2899.24,0.1978,0
M00734,retail,daily,928,82.02,76118.6,0.0071,0.00639,0,0.3607,0.753,0,6386.79,5173.95,0.766,1
M00735,grocery,daily,600,51.51,30903.51,0.00236,0.00344,61,0.2174,0.8905,0,4604.15,3486.0,0.0733,1
M00736,marketplace,daily,2015,68.84,138721.91,0.00556,0.00831,34,0.5368,1.0984,0,20726.4,14034.35,0.7226,1
M00737,fuel,weekly,1147,39.42,45209.8,0.002,0.002,48,0.02,0.6065,0,5668.38,5804.77,0.0461,0
M00738,retail,daily,1977,97.65,193052.76,0.00312,0.00547,168,0.2013,0.791,0,17970.32,14294.58,0.216,0
M00739,retail,daily,1913,99.68,190696.53,0.0061,0.00786,28,0.1691,0.8197,0,17787.28,13952.75,0.6748,0
M00740,travel,daily,1116,242.71,270859.22,0.02656,0.0211,69,0.2862,0.6379,0,42742.08,36519.2,1.0,1
M00741,grocery,weekly,1664,48.11,80063.26,0.00188,0.00235,90,0.1161,0.8359,0,5937.12,5460.21,0.0397,0
M00742,grocery,daily,282,53.43,15067.24,0.00245,0.00248,0,0.0715,0.8402,0,2579.04,2002.7,0.0515,0
M00743,healthcare,weekly,5206,136.65,711418.16,0.00159,0.0019,29,0.1964,0.9135,0,120297.98,106384.37,0.0483,0
M00744,grocery,daily,1523,59.45,90549.54,0.0025,0.00297,65,0.1213,0.8996,0,11876.84,8950.8,0.0579,0
M00745,gaming,daily,858,89.55,76831.01,0.01305,0.01509,58,0.0851,0.9446,0,5879.07,4328.98,0.9978,1
M00746,gaming,daily,4420,136.74,604372.43,0.01776,0.02913,79,0.0754,0.7502,0,58640.17,47567.59,1.0,1
M00747,retail,daily,1002,85.39,85559.79,0.00481,0.00338,29,0.1418,0.9566,0,12303.8,9002.86,0.1717,0
M00748,travel,twice_weekly,6744,237.78,1603612.49,0.01669,0.01188,68,0.1319,0.8669,0,260048.57,217378.31,0.9995,1
M00749,restaurants,weekly,7658,58.7,449486.99,0.00279,0.00456,8,0.3194,0.8887,0,31861.19,28536.31,0.1718,0
M00750,restaurants,daily,2428,47.32,114888.52,0.00427,0.00348,13,0.149,1.1383,0,9962.43,6592.8,0.1133,0
M00751,retail,weekly,401,69.26,27772.09,0.00263,0.00321,195,0.1101,0.8876,0,3191.59,2860.16,0.0694,0
M00752,retail,daily,1838,58.13,106834.28,0.00885,0.00712,158,0.2449,0.7459,0,8696.14,7068.36,0.8738,1
M00753,retail,daily,878,81.04,71150.93,0.01085,0.01729,41,0.4211,0.6815,0,5721.28,4792.27,0.9985,1
M00754,travel,daily,1329,373.29,496096.37,0.02628,0.02225,221,0.2711,0.7898,0,87004.44,69248.69,1.0,1
M00755,marketplace,daily,659,80.53,53067.82,0.00883,0.00704,28,0.381,0.7253,0,7272.49,5968.83,0.9104,1
M00756,fuel,twice_weekly,848,84.33,71511.03,0.00043,0.00052,234,0.3857,0.9007,0,9269.89,7617.2,0.0177,0
M00757,retail,daily,2474,99.04,245023.51,0.00986,0.00801,43,0.1467,0.8507,0,27685.67,21386.7,0.916,1
M00758,electronics,daily,1968,206.98,407337.41,0.01198,0.01413,135,0.1031,0.4462,0,61414.62,57006.79,0.9979,1
M00759,grocery,daily,658,59.38,39072.36,0.00205,0.00248,30,0.2248,0.6713,0,2385.23,2007.25,0.0687,0
M00760,travel,daily,1786,331.28,591671.34,0.01436,0.0165,54,0.083,0.7767,0,82314.36,65930.94,0.9995,1
M00761,marketplace,daily,3869,48.61,188085.21,0.00997,0.01317,44,0.5058,0.7788,0,33316.21,26658.43,0.9932,1
M00762,fuel,twice_weekly,2847,54.72,155796.0,0.00267,0.0043,81,0.355,0.8382,0,20015.77,16972.7,0.1521,0
M00763,grocery,daily,360,53.49,19257.92,0.00201,0.00161,2,0.02,0.9495,0,2933.5,2154.44,0.0252,0
M00764,grocery,daily,1836,53.97,99089.5,0.00191,0.00178,9,0.1285,1.0718,0,13469.15,9258.16,0.0257,0
M00765,healthcare,daily,265,151.42,40126.35,0.00154,0.00218,2,0.0688,0.6565,0,4961.22,4203.29,0.0437,0
M00766,grocery,daily,674,27.4,18469.7,0.0016,0.0016,37,0.2578,0.7551,0,1496.45,1211.08,0.0399,0
M00767,fuel,daily,899,44.31,39835.81,0.00366,0.00457,84,0.1965,0.8235,0,6906.9,5407.71,0.1835,1
